chr     start   end     strand  pvalue  qvalue  meth.diff
chr1    466001  468000  *       0.00415711849409238     0.0120671167427604      -27.3170731707317
chr1    660001  662000  *       4.04113325784691e-09    3.62260475171775e-08    -33.3792540435737
chr1    1454001 1456000 *       8.93917792092073e-12    1.08386220427317e-10    -26.5563101301641
chr1    2750001 2752000 *       2.71610876608368e-129   5.71042756213395e-127   25.0474473214157
chr1    3428001 3430000 *       2.04907237864629e-10    2.14432834251086e-09    -46.3312368972746
chr1    3604001 3606000 *       2.13785433427291e-09    1.9841040640047e-08     37.8574305275876
chr1    4488001 4490000 *       3.46668153028929e-25    1.05232051309453e-23    -28.1260194808221
chr1    4934001 4936000 *       0.00170753601022128     0.00555652046196457     26.3565891472868
chr1    5294001 5296000 *       1.09733414650907e-08    9.28758216013033e-08    -58.5365853658537
chr1    5316001 5318000 *       5.15474691512327e-230   2.81110995113962e-227   36.7499302101756
chr1    5800001 5802000 *       1.6792305169464e-05     8.57107376466254e-05    -41.9354838709677
chr1    5832001 5834000 *       2.45037396067247e-29    8.93959312757533e-28    -31.9353058759838
chr1    6178001 6180000 *       0.000199645487236008    0.0008176955519374      33.3333333333333
chr1    6858001 6860000 *       4.11802124736008e-35    1.83759987165954e-33    -25.7760393508226
chr1    6982001 6984000 *       4.45773400724171e-55    3.23300804262217e-53    31.2778101437895
chr1    7638001 7640000 *       7.11670781316594e-192   2.80526575524326e-189   53.283272088193
chr1    7820001 7822000 *       0.0117379607114075      0.029259762514648       -28.7912087912088
chr1    9334001 9336000 *       5.13420842495799e-50    3.35203565602881e-48    29.3322923575024
chr1    9394001 9396000 *       5.84408462415855e-12    7.21770785555801e-11    -37.3258239465999
chr1    10270001        10272000        *       3.87583676911618e-06    2.2243483480907e-05     37.5668449197861
chr1    10660001        10662000        *       2.3306926373024e-44     1.34027358103519e-42    -44.2708333333333
chr1    11814001        11816000        *       5.88535252819864e-14    8.78413085996173e-13    34.7484530535378
chr1    12026001        12028000        *       0.000206040673260168    0.000841590898502721    -34.6542346542347
chr1    13624001        13626000        *       3.7408685409459e-92     4.91525514712865e-90    -36.2723871711639
chr1    13678001        13680000        *       7.9888752770962e-13     1.07563619453487e-11    -54.2372881355932
chr1    14228001        14230000        *       3.76357423775097e-05    0.000179330815135746    -27.2727272727273
chr1    14548001        14550000        *       0.0014173641775447      0.00471284771734786     -38.7096774193548
chr1    16154001        16156000        *       0.000354840741987148    0.00137282795365827     -32.5
chr1    16868001        16870000        *       2.14916860473438e-14    3.33232028140085e-13    30.8958497222818
chr1    18170001        18172000        *       1.48806160135535e-292   1.23368528120794e-289   25.5420601931067
chr1    19242001        19244000        *       2.71172816533903e-13    3.81255475332548e-12    -35.1151086840133
chr1    19660001        19662000        *       0.000614079346563657    0.00224147714394587     -50
chr1    20222001        20224000        *       2.00446710833728e-06    1.2072589776294e-05     -27.09837907238
chr1    23878001        23880000        *       0.00696645847878032     0.0187921437042383      41.6666666666667
