chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	83078001	83080000	*	1.9656131005458e-12	2.7987179258042e-09	31.4285714285714
chr2	43402001	43404000	*	1.78200696360815e-14	5.32000907169268e-11	-43.7141136318008
chr3	25882001	25884000	*	1.03537700598745e-05	0.00106648532152928	-28.5714285714286
chr4	51926001	51928000	*	0.000299166016444724	0.0140844538755419	-50
chr6	45726001	45728000	*	1.79154730869061e-14	5.32000907169268e-11	31.2790551576831
chr6	64296001	64298000	*	0.000304313823379562	0.0142660853859947	-28.5714285714286
chr11	102594001	102596000	*	1.8233946157017e-07	4.16171935172733e-05	-30
chr12	75770001	75772000	*	1.25132800923562e-12	1.90937605318851e-09	28.9054355919583
chr13	7574001	7576000	*	0.000522189152736174	0.0211602922072886	27.9239766081871
chr15	51732001	51734000	*	8.96610711171718e-08	2.30606351152171e-05	52
